"","Station_ID","year","consecutive_days_count","gs_mean","gs_max","gs_min","total_days"
"1","BSM1","2021",0,-0.0411501664201183,0,-0.181,0
"2","BSM2","2021",4,-0.082783524408284,0,-0.2444,4
"3","BSM2","2022",0,-0.0602948529411765,-0.0034,-0.1317,0
"4","BSM2","2023",0,-0.0699534891598916,-0.0232,-0.1562,0
"5","BSM3","2021",3,-0.099386224112426,-0.0072,-0.3285,5
"6","BSM3","2022",0,-0.0768325708061002,-0.0158,-0.1367,0
"7","BSM3","2023",0,-0.0728162940379404,0,-0.1117,0
"8","HM1","2021",1,-0.107814624183007,0.036,-0.3134,2
"9","HM1","2022",2,-0.0490646241830065,0.0344,-0.2489,2
"10","HM1","2023",0,-0.0836042005420054,0.0257,-0.2607,0
"11","HM1","2020",3,-0.0753989114114114,0.0437,-0.3024,5
"12","HM3","2021",0,-0.0592986383442266,0.0772,-0.1831,0
"13","HM3","2022",0,-0.0380239923747277,0.0491,-0.1845,0
"14","HM3","2023",0,-0.0698103997289973,0.0569,-0.1958,0
"15","HM3","2020",0,-0.0312561936936937,0.0841,-0.2021,0
"16","VSM1","2021",153,-0.424071241830065,-0.1931,-0.6073,153
"17","VSM1","2022",65,-0.29351309912854,-0.0874,-0.5139,132
"18","VSM1","2023",95,-0.347073543360434,-0.1095,-0.5139,121
"19","VSM1","2020",74,-0.338021546546547,-0.0777,-0.5351,94
"20","VSM2","2021",14,-0.0973632897603486,0.0408,-0.3189,34
"21","VSM2","2022",0,-0.0071875816993464,0.0856,-0.1128,0
"22","VSM2","2023",0,-0.0209568089430894,0.0551,-0.1837,0
"23","VSM2","2020",35,-0.129894181681682,0.0375,-0.4065,37
"24","BSM1","2022",NA,NA,NA,NA,0
"25","BSM1","2023",NA,NA,NA,NA,0
